#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,EL)U-235-L0,SIG
#NUCLEUS    U-235
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 6.49283     13.6608      Lin-Lin
 6.5063      13.2536      Lin-Lin
 6.51977     12.9141      Lin-Lin
 6.53593     12.5869      Lin-Lin
 6.5521      12.3283      Lin-Lin
 6.57634     12.0295      Lin-Lin
 6.60328     11.7785      Lin-Lin
 6.63695     11.537       Lin-Lin
 6.67736     11.3099      Lin-Lin
 6.74335     11.015       Lin-Lin
 6.87535     10.4799      Lin-Lin
 6.92195     10.2391      Lin-Lin
 6.97771     9.8756       Lin-Lin
 6.99791     9.77568      Lin-Lin
 7.00465     9.76117      Lin-Lin
 7.01812     9.77928      Lin-Lin
 7.02822     9.84676      Lin-Lin
 7.03832     9.96988      Lin-Lin
 7.05012     10.188       Lin-Lin
 7.06025     10.4338      Lin-Lin
 7.0809      11.0366      Lin-Lin
 7.09436     11.4295      Lin-Lin
 7.10816     11.7649      Lin-Lin
 7.11666     11.9189      Lin-Lin
 7.12835     12.056       Lin-Lin
 7.13897     12.108       Lin-Lin
 7.14251     12.1115      Lin-Lin
 7.15667     12.0701      Lin-Lin
 7.17792     11.9034      Lin-Lin
 7.21828     11.5295      Lin-Lin
 7.25353     11.2821      Lin-Lin
 7.29995     11.0569      Lin-Lin
 7.36959     10.8285      Lin-Lin
 7.46244     10.6131      Lin-Lin
 7.64525     10.2999      Lin-Lin
 7.88492     9.86217      Lin-Lin
 8.04741     9.5111       Lin-Lin
 8.15767     9.21514      Lin-Lin
 8.22721     8.98868      Lin-Lin
 8.28504     8.76681      Lin-Lin
 8.3359      8.53822      Lin-Lin
 8.37977     8.30843      Lin-Lin
 8.41885     8.07173      Lin-Lin
 8.45315     7.83372      Lin-Lin
 8.48935     7.54625      Lin-Lin
 8.53381     7.13829      Lin-Lin
 8.58462     6.63535      Lin-Lin
 8.60367     6.48045      Lin-Lin
 8.61637     6.4142       Lin-Lin
 8.6259      6.39749      Lin-Lin
 8.63543     6.42148      Lin-Lin
 8.64178     6.4669       Lin-Lin
 8.64813     6.54139      Lin-Lin
 8.65448     6.6502       Lin-Lin
 8.66083     6.79895      Lin-Lin
 8.66718     6.99345      Lin-Lin
 8.67353     7.23949      Lin-Lin
 8.6783      7.46117      Lin-Lin
 8.68306     7.71707      Lin-Lin
 8.68782     8.009        Lin-Lin
 8.69259     8.33844      Lin-Lin
 8.69735     8.70638      Lin-Lin
 8.70211     9.11325      Lin-Lin
 8.70846     9.71588      Lin-Lin
 8.71402     10.2977      Lin-Lin
 8.72117     11.1151      Lin-Lin
 8.72831     12.0004      Lin-Lin
 8.73704     13.1533      Lin-Lin
