#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 0.832444    8.04173      Lin-Lin
 0.850102    8.14314      Lin-Lin
 0.868176    8.29552      Lin-Lin
 0.886592    8.51107      Lin-Lin
 0.8991      8.69882      Lin-Lin
 0.911785    8.92961      Lin-Lin
 0.924648    9.2123       Lin-Lin
 0.937693    9.55815      Lin-Lin
 0.947615    9.86815      Lin-Lin
 0.957631    10.2292      Lin-Lin
 0.96774     10.6503      Lin-Lin
 0.977943    11.1428      Lin-Lin
 0.988291    11.7233      Lin-Lin
 0.998736    12.4065      Lin-Lin
 1.00573     12.9274      Lin-Lin
 1.01283     13.5146      Lin-Lin
 1.01992     14.1682      Lin-Lin
 1.02712     14.9065      Lin-Lin
 1.03431     15.7295      Lin-Lin
 1.04161     16.6596      Lin-Lin
 1.0489      17.695       Lin-Lin
 1.0563      18.8615      Lin-Lin
 1.0637      20.1523      Lin-Lin
 1.0712      21.592       Lin-Lin
 1.07871     23.1614      Lin-Lin
 1.08632     24.8744      Lin-Lin
 1.10053     28.3081      Lin-Lin
 1.11495     31.804       Lin-Lin
 1.12276     33.515       Lin-Lin
 1.13033     34.9218      Lin-Lin
 1.13606     35.7637      Lin-Lin
 1.14128     36.3264      Lin-Lin
 1.14683     36.6858      Lin-Lin
 1.15238     36.7825      Lin-Lin
 1.15825     36.5926      Lin-Lin
 1.16411     36.1098      Lin-Lin
 1.17008     35.3397      Lin-Lin
 1.17626     34.2838      Lin-Lin
 1.18244     33.013       Lin-Lin
 1.18868     31.5676      Lin-Lin
 1.20121     28.3929      Lin-Lin
 1.21392     25.1335      Lin-Lin
 1.22246     23.0684      Lin-Lin
 1.2289      21.6138      Lin-Lin
 1.23535     20.2641      Lin-Lin
 1.24188     19.0093      Lin-Lin
 1.24842     17.8713      Lin-Lin
 1.25277     17.1768      Lin-Lin
 1.2594      16.2152      Lin-Lin
 1.26603     15.3612      Lin-Lin
 1.27292     14.5752      Lin-Lin
 1.27981     13.8759      Lin-Lin
 1.28808     13.1217      Lin-Lin
 1.30118     12.0298      Lin-Lin
 1.31978     10.5396      Lin-Lin
 1.33288     9.54973      Lin-Lin
 1.33977     9.07325      Lin-Lin
 1.34666     8.63639      Lin-Lin
 1.35355     8.24118      Lin-Lin
 1.36044     7.88634      Lin-Lin
 1.36733     7.5685       Lin-Lin
 1.37422     7.28342      Lin-Lin
 1.38456     6.90785      Lin-Lin
 1.3949      6.58354      Lin-Lin
 1.40523     6.30044      Lin-Lin
 1.41213     6.13075      Lin-Lin
 1.42591     5.82927      Lin-Lin
 1.43969     5.56956      Lin-Lin
 1.45492     5.32161      Lin-Lin
 1.4703      5.10527      Lin-Lin
 1.48582     4.9153       Lin-Lin
 1.50149     4.74763      Lin-Lin
 1.52267     4.55292      Lin-Lin
 1.54415     4.3867       Lin-Lin
 1.56594     4.24459      Lin-Lin
 1.58803     4.12349      Lin-Lin
 1.61044     4.02147      Lin-Lin
 1.63316     3.93734      Lin-Lin
 1.6562      3.87064      Lin-Lin
 1.67956     3.8218       Lin-Lin
 1.70326     3.79224      Lin-Lin
 1.72557     3.78452      Lin-Lin
 1.74991     3.80225      Lin-Lin
 1.76843     3.83787      Lin-Lin
 1.78712     3.89809      Lin-Lin
 1.79964     3.95532      Lin-Lin
 1.81233     4.03047      Lin-Lin
 1.82502     4.12672      Lin-Lin
 1.8379      4.25118      Lin-Lin
 1.84755     4.36662      Lin-Lin
 1.8573      4.50701      Lin-Lin
 1.86709     4.67797      Lin-Lin
 1.87688     4.88663      Lin-Lin
 1.8835      5.05418      Lin-Lin
 1.89012     5.24779      Lin-Lin
 1.89674     5.4727       Lin-Lin
 1.90336     5.73554      Lin-Lin
 1.90915     6.00315      Lin-Lin
 1.91494     6.31359      Lin-Lin
 1.91928     6.58003      Lin-Lin
 1.92363     6.88063      Lin-Lin
 1.92817     7.23864      Lin-Lin
 1.93148     7.53135      Lin-Lin
 1.93479     7.85556      Lin-Lin
 1.9381      8.21578      Lin-Lin
 1.94103     8.56866      Lin-Lin
 1.94484     9.08456      Lin-Lin
 1.94866     9.67368      Lin-Lin
 1.9512      10.1135      Lin-Lin
 1.95375     10.5961      Lin-Lin
 1.95629     11.1264      Lin-Lin
 1.95884     11.71        Lin-Lin
 1.96138     12.3528      Lin-Lin
 1.96393     13.0613      Lin-Lin
 1.96647     13.8424      Lin-Lin
 1.96902     14.7035      Lin-Lin
 1.97156     15.6522      Lin-Lin
 1.97411     16.6961      Lin-Lin
 1.97665     17.8428      Lin-Lin
 1.9792      19.0992      Lin-Lin
 1.98174     20.4717      Lin-Lin
 1.98429     21.9653      Lin-Lin
 1.98683     23.5832      Lin-Lin
 1.98938     25.3266      Lin-Lin
 1.99192     27.1939      Lin-Lin
 1.99447     29.1801      Lin-Lin
 1.99828     32.3622      Lin-Lin
 2.0021      35.744       Lin-Lin
 2.01355     46.274       Lin-Lin
 2.01737     49.5402      Lin-Lin
 2.02119     52.4666      Lin-Lin
 2.02398     54.3198      Lin-Lin
 2.02678     55.871       Lin-Lin
 2.02933     56.9839      Lin-Lin
 2.03187     57.7874      Lin-Lin
 2.03432     58.2502      Lin-Lin
 2.03673     58.4006      Lin-Lin
 2.03906     58.2533      Lin-Lin
 2.04103     57.9063      Lin-Lin
 2.04358     57.1663      Lin-Lin
 2.04612     56.1134      Lin-Lin
 2.04899     54.5853      Lin-Lin
 2.05185     52.7354      Lin-Lin
 2.05503     50.3635      Lin-Lin
 2.05885     47.1807      Lin-Lin
 2.06394     42.5848      Lin-Lin
 2.07157     35.5314      Lin-Lin
 2.07539     32.1538      Lin-Lin
 2.07921     28.9738      Lin-Lin
 2.08175     26.9872      Lin-Lin
 2.0843      25.1177      Lin-Lin
 2.08684     23.3703      Lin-Lin
 2.08939     21.7465      Lin-Lin
