#LIBRARY    ENDF/B-VIII.b4
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1.265E+06   2.92127      Lin-Lin
 1.27E+06    3.04865      Lin-Lin
 1.275E+06   3.2225       Lin-Lin
 1.28E+06    3.46082      Lin-Lin
 1.285E+06   3.78776      Lin-Lin
 1.29E+06    4.23175      Lin-Lin
 1.295E+06   4.81399      Lin-Lin
 1.305E+06   6.21237      Lin-Lin
 1.307E+06   6.43811      Lin-Lin
 1.309E+06   6.60572      Lin-Lin
 1.311E+06   6.7006       Lin-Lin
 1.313E+06   6.71468      Lin-Lin
 1.315E+06   6.64839      Lin-Lin
 1.317E+06   6.5104       Lin-Lin
 1.319E+06   6.31527      Lin-Lin
 1.321E+06   6.08022      Lin-Lin
 1.3275E+06  5.23675      Lin-Lin
 1.33E+06    4.91808      Lin-Lin
 1.335E+06   4.3785       Lin-Lin
 1.34E+06    3.95092      Lin-Lin
 1.345E+06   3.61938      Lin-Lin
 1.35E+06    3.36261      Lin-Lin
 1.36E+06    3.0026       Lin-Lin
 1.37E+06    2.76983      Lin-Lin
 1.38E+06    2.61023      Lin-Lin
 1.39E+06    2.49481      Lin-Lin
 1.4E+06     2.40742      Lin-Lin
 1.41E+06    2.33864      Lin-Lin
 1.42E+06    2.28271      Lin-Lin
 1.43E+06    2.23595      Lin-Lin
 1.44E+06    2.19594      Lin-Lin
 1.46E+06    2.13003      Lin-Lin
 1.48E+06    2.07672      Lin-Lin
 1.51E+06    2.01132      Lin-Lin
 1.55E+06    1.94069      Lin-Lin
 1.59E+06    1.88389      Lin-Lin
 1.613E+06   1.86379      Lin-Lin
 1.616E+06   1.86285      Lin-Lin
 1.625E+06   1.87046      Lin-Lin
 1.628E+06   1.87787      Lin-Lin
 1.632E+06   1.89852      Lin-Lin
 1.634E+06   1.91639      Lin-Lin
 1.636E+06   1.94323      Lin-Lin
 1.638E+06   1.98497      Lin-Lin
 1.64E+06    2.05315      Lin-Lin
 1.641E+06   2.10419      Lin-Lin
 1.642E+06   2.17371      Lin-Lin
 1.643E+06   2.27101      Lin-Lin
 1.644E+06   2.41213      Lin-Lin
 1.64475E+06 2.56918      Lin-Lin
 1.645E+06   2.62585      Lin-Lin
 1.64575E+06 2.87559      Lin-Lin
 1.646E+06   2.9645       Lin-Lin
 1.64638E+06 3.14478      Lin-Lin
 1.6465E+06  3.21061      Lin-Lin
 1.64688E+06 3.44943      Lin-Lin
 1.647E+06   3.53644      Lin-Lin
 1.64731E+06 3.80035      Lin-Lin
 1.6475E+06  3.97094      Lin-Lin
 1.64775E+06 4.25242      Lin-Lin
 1.64794E+06 4.47292      Lin-Lin
 1.64806E+06 4.64193      Lin-Lin
 1.64844E+06 5.22136      Lin-Lin
 1.64856E+06 5.44135      Lin-Lin
 1.64888E+06 6.05573      Lin-Lin
 1.649E+06   6.31096      Lin-Lin
 1.6495E+06  7.43294      Lin-Lin
 1.64994E+06 8.32513      Lin-Lin
 1.65E+06    8.42909      Lin-Lin
 1.65012E+06 8.57497      Lin-Lin
 1.65044E+06 8.85013      Lin-Lin
 1.6505E+06  8.87225      Lin-Lin
 1.65059E+06 8.84457      Lin-Lin
 1.65094E+06 8.58281      Lin-Lin
 1.65103E+06 8.46468      Lin-Lin
 1.65119E+06 8.17711      Lin-Lin
 1.6515E+06  7.55464      Lin-Lin
 1.652E+06   6.43364      Lin-Lin
 1.65238E+06 5.672        Lin-Lin
 1.6525E+06  5.43227      Lin-Lin
 1.65269E+06 5.12255      Lin-Lin
 1.65294E+06 4.72897      Lin-Lin
 1.65306E+06 4.55503      Lin-Lin
 1.65338E+06 4.17835      Lin-Lin
 1.6535E+06  4.03714      Lin-Lin
 1.65369E+06 3.86081      Lin-Lin
 1.65394E+06 3.63969      Lin-Lin
 1.65406E+06 3.54691      Lin-Lin
 1.65494E+06 3.02951      Lin-Lin
 1.65506E+06 2.97065      Lin-Lin
 1.65575E+06 2.7274       Lin-Lin
 1.656E+06   2.64339      Lin-Lin
 1.65675E+06 2.47355      Lin-Lin
 1.657E+06   2.42034      Lin-Lin
 1.658E+06   2.27215      Lin-Lin
 1.659E+06   2.16911      Lin-Lin
 1.66E+06    2.09468      Lin-Lin
 1.661E+06   2.03916      Lin-Lin
 1.662E+06   1.9966       Lin-Lin
 1.663E+06   1.96321      Lin-Lin
 1.664E+06   1.93654      Lin-Lin
 1.666E+06   1.89673      Lin-Lin
 1.668E+06   1.86868      Lin-Lin
 1.671E+06   1.83948      Lin-Lin
 1.675E+06   1.81381      Lin-Lin
 1.681E+06   1.78935      Lin-Lin
 1.686E+06   1.77788      Lin-Lin
 1.687E+06   1.77925      Lin-Lin
 1.68791E+06 1.79077      Lin-Lin
 1.688E+06   1.79881      Lin-Lin
 1.68809E+06 1.8182       Lin-Lin
 1.68881E+06 2.01917      Lin-Lin
 1.68889E+06 2.04512      Lin-Lin
 1.68894E+06 2.07086      Lin-Lin
 1.68897E+06 2.09938      Lin-Lin
 1.68899E+06 2.13072      Lin-Lin
 1.68901E+06 2.16233      Lin-Lin
 1.68903E+06 2.208        Lin-Lin
 1.68905E+06 2.26706      Lin-Lin
 1.68906E+06 2.32205      Lin-Lin
 1.68908E+06 2.38802      Lin-Lin
 1.6891E+06  2.46685      Lin-Lin
 1.68911E+06 2.56064      Lin-Lin
