#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,F),SIG
#NUCLEUS    U-235
#MF         3
#MT         18
#E,eV        Sig,b        Interpolation
 1.10545     103.97       Lin-Lin
 1.11325     106.26       Lin-Lin
 1.1191      107.458      Lin-Lin
 1.12593     108.147      Lin-Lin
 1.12837     108.181      Lin-Lin
 1.13488     107.671      Lin-Lin
 1.14086     106.385      Lin-Lin
 1.146       104.639      Lin-Lin
 1.15111     102.323      Lin-Lin
 1.15618     99.4887      Lin-Lin
 1.16295     94.9732      Lin-Lin
 1.1691      90.2673      Lin-Lin
 1.17525     85.1482      Lin-Lin
 1.19599     66.9211      Lin-Lin
 1.20443     59.9031      Lin-Lin
 1.21076     55.006       Lin-Lin
 1.21715     50.4382      Lin-Lin
 1.22356     46.2531      Lin-Lin
 1.22784     43.6911      Lin-Lin
 1.23215     41.293       Lin-Lin
 1.23649     39.0588      Lin-Lin
 1.24083     37.0005      Lin-Lin
 1.24516     35.1122      Lin-Lin
 1.24933     33.4552      Lin-Lin
 1.25331     32.0061      Lin-Lin
 1.2573      30.688       Lin-Lin
 1.26128     29.498       Lin-Lin
 1.26672     28.0767      Lin-Lin
 1.27189     26.9372      Lin-Lin
 1.27706     25.9968      Lin-Lin
 1.28171     25.3121      Lin-Lin
 1.28636     24.7686      Lin-Lin
 1.29118     24.3368      Lin-Lin
 1.29704     23.9598      Lin-Lin
 1.30655     23.5681      Lin-Lin
 1.32047     23.0963      Lin-Lin
 1.33081     22.6003      Lin-Lin
 1.34115     21.9485      Lin-Lin
 1.36526     20.2349      Lin-Lin
 1.37905     19.3685      Lin-Lin
 1.39283     18.6414      Lin-Lin
 1.40661     18.0408      Lin-Lin
 1.42039     17.5432      Lin-Lin
 1.44107     16.9435      Lin-Lin
 1.4614      16.4786      Lin-Lin
 1.48202     16.0961      Lin-Lin
 1.51353     15.6294      Lin-Lin
 1.54563     15.251       Lin-Lin
 1.58955     14.8311      Lin-Lin
 1.64625     14.3901      Lin-Lin
 1.71692     13.9406      Lin-Lin
 1.77807     13.6276      Lin-Lin
 1.8286      13.4431      Lin-Lin
 1.86612     13.389       Lin-Lin
 1.88981     13.4281      Lin-Lin
 1.90943     13.5431      Lin-Lin
 1.92245     13.691       Lin-Lin
 1.9339      13.8987      Lin-Lin
 1.94281     14.1371      Lin-Lin
 1.95044     14.42        Lin-Lin
 1.95808     14.805       Lin-Lin
 1.96316     15.1374      Lin-Lin
 1.96825     15.5467      Lin-Lin
 1.97334     16.0491      Lin-Lin
 1.97843     16.6609      Lin-Lin
 1.98352     17.397       Lin-Lin
 1.98861     18.2676      Lin-Lin
 1.9937      19.2734      Lin-Lin
 1.99879     20.4022      Lin-Lin
 2.00897     22.8885      Lin-Lin
 2.0166      24.7135      Lin-Lin
 2.0208      25.5918      Lin-Lin
 2.02411     26.18        Lin-Lin
 2.02831     26.7582      Lin-Lin
 2.0319      27.078       Lin-Lin
 2.03554     27.2213      Lin-Lin
 2.03661     27.2274      Lin-Lin
 2.04043     27.115       Lin-Lin
 2.04409     26.8158      Lin-Lin
 2.04663     26.5042      Lin-Lin
 2.0507      25.8485      Lin-Lin
 2.05478     25.0315      Lin-Lin
 2.05987     23.8477      Lin-Lin
 2.07259     20.6187      Lin-Lin
 2.07768     19.3998      Lin-Lin
 2.08277     18.29        Lin-Lin
 2.08786     17.3089      Lin-Lin
 2.09295     16.4616      Lin-Lin
 2.09804     15.7421      Lin-Lin
 2.10313     15.1381      Lin-Lin
 2.10822     14.6342      Lin-Lin
 2.11331     14.2143      Lin-Lin
 2.1184      13.8638      Lin-Lin
 2.12603     13.44        Lin-Lin
 2.13366     13.1083      Lin-Lin
 2.14435     12.7516      Lin-Lin
 2.1525      12.5386      Lin-Lin
 2.16768     12.2302      Lin-Lin
 2.18286     11.9967      Lin-Lin
 2.20596     11.7254      Lin-Lin
 2.22927     11.5114      Lin-Lin
 2.27656     11.1698      Lin-Lin
 2.39103     10.5042      Lin-Lin
 2.45635     10.1095      Lin-Lin
 2.50404     9.76756      Lin-Lin
 2.53582     9.49275      Lin-Lin
 2.56761     9.16037      Lin-Lin
 2.59145     8.85992      Lin-Lin
 2.61529     8.50546      Lin-Lin
 2.63119     8.23777      Lin-Lin
 2.67092     7.52143      Lin-Lin
 2.68284     7.34519      Lin-Lin
 2.69079     7.26184      Lin-Lin
 2.69913     7.21972      Lin-Lin
 2.70132     7.21844      Lin-Lin
 2.70787     7.24409      Lin-Lin
 2.71403     7.31486      Lin-Lin
 2.7194      7.41935      Lin-Lin
 2.72476     7.56855      Lin-Lin
 2.73052     7.78299      Lin-Lin
 2.73648     8.06744      Lin-Lin
 2.74244     8.41724      Lin-Lin
 2.749       8.87647      Lin-Lin
 2.75496     9.3576       Lin-Lin
 2.76152     9.9486       Lin-Lin
 2.76867     10.6527      Lin-Lin
 2.78377     12.2514      Lin-Lin
 2.79549     13.4894      Lin-Lin
 2.80681     14.5951      Lin-Lin
 2.81436     15.2573      Lin-Lin
 2.82191     15.8509      Lin-Lin
 2.82986     16.4007      Lin-Lin
 2.83781     16.8777      Lin-Lin
 2.84973     17.4756      Lin-Lin
 2.86125     17.9497      Lin-Lin
 2.8839      18.7149      Lin-Lin
 2.9141      19.6955      Lin-Lin
 2.92916     20.2692      Lin-Lin
 2.94422     20.947       Lin-Lin
 2.95924     21.7617      Lin-Lin
 2.9705      22.4869      Lin-Lin
 2.98218     23.3652      Lin-Lin
 2.99407     24.4172      Lin-Lin
 3.00596     25.6602      Lin-Lin
 3.01388     26.6133      Lin-Lin
 3.02181     27.6802      Lin-Lin
 3.02973     28.8738      Lin-Lin
 3.03766     30.2073      Lin-Lin
 3.04558     31.6929      Lin-Lin
 3.05351     33.3402      Lin-Lin
 3.06143     35.1544      Lin-Lin
 3.06936     37.1327      Lin-Lin
 3.08006     40.0362      Lin-Lin
 3.10581     47.5049      Lin-Lin
 3.11374     49.6268      Lin-Lin
 3.12166     51.4744      Lin-Lin
 3.12761     52.6064      Lin-Lin
 3.13252     53.3389      Lin-Lin
 3.13704     53.8274      Lin-Lin
 3.14282     54.1692      Lin-Lin
 3.14572     54.2136      Lin-Lin
 3.15178     54.0239      Lin-Lin
 3.15812     53.4146      Lin-Lin
 3.16327     52.6201      Lin-Lin
 3.16921     51.3944      Lin-Lin
 3.17516     49.8754      Lin-Lin
 3.1811      48.1123      Lin-Lin
 3.18903     45.4789      Lin-Lin
 3.2128      36.9131      Lin-Lin
 3.22073     34.2095      Lin-Lin
 3.22865     31.7078      Lin-Lin
 3.2346      29.987       Lin-Lin
 3.24054     28.4082      Lin-Lin
 3.24648     26.9733      Lin-Lin
 3.25243     25.6798      Lin-Lin
 3.25837     24.522       Lin-Lin
 3.26432     23.4925      Lin-Lin
 3.27026     22.5824      Lin-Lin
 3.2762      21.7823      Lin-Lin
 3.28413     20.8706      Lin-Lin
 3.29205     20.117       Lin-Lin
 3.29998     19.5024      Lin-Lin
 3.3079      19.01        Lin-Lin
 3.31583     18.6253      Lin-Lin
 3.32375     18.3365      Lin-Lin
 3.33168     18.1336      Lin-Lin
 3.34198     17.9855      Lin-Lin
 3.34832     17.9542      Lin-Lin
 3.36021     18.0097      Lin-Lin
 3.3721      18.2071      Lin-Lin
 3.38398     18.5438      Lin-Lin
 3.39587     19.0235      Lin-Lin
 3.40776     19.6563      Lin-Lin
 3.41838     20.3648      Lin-Lin
 3.42836     21.1709      Lin-Lin
 3.43835     22.1334      Lin-Lin
 3.44555     22.94        Lin-Lin
 3.45276     23.8547      Lin-Lin
 3.45996     24.8929      Lin-Lin
 3.46717     26.0735      Lin-Lin
 3.47437     27.419       Lin-Lin
 3.48158     28.9567      Lin-Lin
 3.48878     30.7191      Lin-Lin
 3.49599     32.7444      Lin-Lin
