#   PRODUCT      ZAFP     FPS           Y          DY
# ----------- ------- ------- ----------- -----------
 30-Zn- 86    30086.      0.  2.2798E-12  1.4591E-12
 31-Ga- 66    31066.      0.  0.0000E+00  0.0000E+00
 31-Ga- 67    31067.      0.  0.0000E+00  0.0000E+00
 31-Ga- 68    31068.      0.  0.0000E+00  0.0000E+00
 31-Ga- 69    31069.      0.  0.0000E+00  0.0000E+00
 31-Ga- 70    31070.      0.  1.4699E-13  9.4073E-14
 31-Ga- 71    31071.      0.  9.3893E-12  6.0092E-12
 31-Ga- 72-M  31072.      1.  1.9299E-10  1.2351E-10
 31-Ga- 72    31072.      0.  1.9299E-10  1.2351E-10
 31-Ga- 73    31073.      0.  1.2099E-08  7.7435E-09
 31-Ga- 74-M  31074.      1.  7.2995E-08  4.6717E-08
 31-Ga- 74    31074.      0.  7.2995E-08  4.6717E-08
 31-Ga- 75    31075.      0.  1.9299E-06  1.2351E-06
 31-Ga- 76    31076.      0.  1.0459E-05  6.6939E-06
 31-Ga- 77    31077.      0.  4.0817E-05  2.6123E-05
 31-Ga- 78    31078.      0.  1.0281E-04  6.5800E-05
 31-Ga- 79    31079.      0.  1.7108E-04  1.8819E-05
 31-Ga- 80    31080.      0.  1.1706E-04  1.8730E-05
 31-Ga- 81    31081.      0.  8.1774E-05  2.6168E-05
 31-Ga- 82    31082.      0.  6.2616E-05  4.0074E-05
 31-Ga- 83    31083.      0.  1.9199E-06  1.2287E-06
 31-Ga- 84    31084.      0.  1.1067E-04  7.0830E-05
 31-Ga- 85    31085.      0.  5.8794E-09  3.7628E-09
 31-Ga- 86    31086.      0.  3.2798E-07  2.0990E-07
 31-Ga- 87    31087.      0.  2.5411E-10  1.6263E-10
 31-Ga- 88    31088.      0.  4.4239E-12  2.8313E-12
 32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
 32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
 32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
 32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
 32-Ge- 70    32070.      0.  0.0000E+00  0.0000E+00
 32-Ge- 71    32071.      0.  0.0000E+00  0.0000E+00
 32-Ge- 71-M  32071.      1.  0.0000E+00  0.0000E+00
 32-Ge- 72    32072.      0.  3.6397E-13  2.3294E-13
 32-Ge- 73    32073.      0.  2.3798E-11  1.5231E-11
 32-Ge- 73-M  32073.      1.  5.5896E-12  3.5774E-12
 32-Ge- 74    32074.      0.  1.6699E-09  1.0687E-09
 32-Ge- 75    32075.      0.  6.8095E-09  4.3581E-09
 32-Ge- 75-M  32075.      1.  4.5597E-08  2.9182E-08
 32-Ge- 76    32076.      0.  1.2999E-06  8.3194E-07
 32-Ge- 77    32077.      0.  5.9596E-06  3.8141E-06
 32-Ge- 77-M  32077.      1.  8.9094E-07  5.7020E-07
 32-Ge- 78    32078.      0.  6.9415E-05  4.4426E-05
 32-Ge- 79-M  32079.      1.  1.1625E-04  7.4398E-05
 32-Ge- 79    32079.      0.  1.1625E-04  7.4398E-05
 32-Ge- 80    32080.      0.  1.0182E-03  4.0727E-05
 32-Ge- 81    32081.      0.  1.2626E-03  5.0504E-05
 32-Ge- 82    32082.      0.  1.2647E-03  5.0588E-05
 32-Ge- 83    32083.      0.  4.7886E-04  3.0647E-04
 32-Ge- 84    32084.      0.  1.8995E-04  4.3688E-05
 32-Ge- 85    32085.      0.  2.1298E-05  1.3631E-05
 32-Ge- 86    32086.      0.  6.2867E-03  1.0059E-03
 32-Ge- 87    32087.      0.  2.1958E-05  1.4053E-05
 32-Ge- 88    32088.      0.  5.1996E-07  3.3277E-07
 32-Ge- 89    32089.      0.  4.0431E-11  2.5876E-11
 32-Ge- 90    32090.      0.  1.1707E-12  7.4926E-13
 32-Ge- 91    32091.      0.  6.1373E-14  3.9279E-14
 33-As- 69    33069.      0.  0.0000E+00  0.0000E+00
 33-As- 71    33071.      0.  0.0000E+00  0.0000E+00
 33-As- 72    33072.      0.  0.0000E+00  0.0000E+00
 33-As- 73    33073.      0.  0.0000E+00  0.0000E+00
 33-As- 74    33074.      0.  4.9896E-14  3.1934E-14
 33-As- 74-M  33074.      1.  1.1599E-13  7.4235E-14
 33-As- 75    33075.      0.  2.5598E-11  1.6383E-11
 33-As- 76    33076.      0.  1.6499E-09  1.0559E-09
 33-As- 77    33077.      0.  4.3097E-08  2.7582E-08
 33-As- 78    33078.      0.  1.2999E-06  2.9898E-07
 33-As- 79    33079.      0.  2.6568E-05  1.1956E-05
 33-As- 80    33080.      0.  1.3695E-04  8.7648E-05
 33-As- 81    33081.      0.  6.0905E-04  4.8724E-05
 33-As- 82    33082.      0.  1.2875E-03  8.2400E-04
 33-As- 82-M  33082.      1.  2.7105E-04  1.7347E-04
 33-As- 83    33083.      0.  2.9069E-03  1.1628E-04
 33-As- 84-M  33084.      1.  9.8697E-04  6.3166E-04
 33-As- 84    33084.      0.  9.8697E-04  6.3166E-04
